Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBT(RP),Proft,ProftOwner,EPS(RP),BV(RP),PER,PBV,DER,ROA(%),ROE(%),NPM(%)
PURE,Basic Materials,B146,Diversified Metals & Minerals,Trinitan Metals and Minerals Tbk,S,09/30/2021,Dec,U,0,699.12,692.11,7.01,15.39,-74.96,-69.25,-69.25,-65.5,5.09,0.0,10.01,98.79,-13.0,-1286.0,-585.0
SAMF,Basic Materials,B112,Agricultural Chemicals,Saraswanti Anugerah Makmur Tbk,S,12/31/2022,Dec,A,WTP,3097.78,1977.46,1120.32,3689.4,441.55,345.99,334.15,65.2,218.6,9.36,2.79,1.77,11.0,30.0,9.0
SBMA,Basic Materials,B111,Basic Chemicals,Surya Biru Murni Acetylene Tbk,S,12/31/2022,Dec,A,WTM,269.61,58.53,211.07,103.64,7.88,4.48,4.48,4.82,226.98,30.69,0.65,0.28,2.0,2.0,4.0
SIMA,Basic Materials,B131,Containers & Packaging,Siwani Makmur Tbk,S,09/30/2019,Dec,U,0,259.71,261.72,-2.0,3.28,-17.21,-17.21,-17.21,-71.74,-4.53,0.0,-11.04,-130.53,-12.0,0.0,-968.0
SMBR,Basic Materials,B121,Construction Materials,Semen Baturaja (Persero) Tbk,S,12/31/2022,Dec,A,WTP,5211.25,2124.33,3086.92,1881.77,115.27,94.83,94.83,9.55,310.79,37.71,1.16,0.69,2.0,3.0,5.0
SMCB,Basic Materials,B121,Construction Materials,Solusi Bangun Indonesia Tbk,S,12/31/2022,Dec,A,WTP,21378.51,9518.47,11860.04,81591.79,1169.87,839.28,839.28,94.9,1314.95,14.49,1.05,0.8,4.0,7.0,1.0
SMGR,Basic Materials,B121,Construction Materials,Semen Indonesia (Persero) Tbk,S,12/31/2022,Dec,A,WTP,82960.01,35720.65,47239.36,36378.6,3298.84,2499.08,2364.84,350.27,6996.83,17.99,0.9,0.76,3.0,5.0,7.0
SMKL,Basic Materials,B131,Containers & Packaging,Satyamitra Kemas Lestari Tbk,S,09/30/2022,Dec,U,0,2058.49,1200.74,857.75,1702.91,97.69,75.49,75.49,32.1,250.94,9.22,1.18,1.4,5.0,13.0,6.0
SPMA,Basic Materials,B131,Containers & Packaging,Suparma Tbk,S,12/31/2022,Dec,A,WTM,3239.23,1092.94,2146.29,3138.05,431.45,336.14,336.14,111.79,680.48,4.44,0.73,0.51,10.0,16.0,11.0
SQMI,Basic Materials,B143,Gold,Wilton Makmur Indonesia Tbk,S,09/30/2022,Dec,U,0,505.5,332.83,172.67,3.95,-19.38,-19.1,-19.38,-1.67,11.11,-39.61,5.94,1.93,-5.0,-15.0,-656.0
