kode;skg;lo;hi;om;dev;roe;pery;epsy;pbvy;bvy;aksiy;vol;totshm;m;bl;mcap;cash;opcash;ph;ut;tcs;p
BFIN;1000;800;1380;0.5;0.5;0.2;7.984032;125;1.5;681;buy;7612020;15039399936;1061;986;15039399460864;1499939995648;1096688992256;4377875054592;12846662418432;99;34
BGTG;87;58;92;0.7;0.0;0.1;0;0;0.6;141;none;52362430;23971000320;68;73;2085477023744;2010173014016;-1782730981376;476975988736;0;83;85
BHIT;41;20;52;0.1;0.0;0.0;0;0;0.2;214;none;10497120;83542695936;45;43;3425250574336;11096344756224;2209090109440;14772908064768;13301795782656;132;65
BIKA;55;27;65;-0.3;0.0;0.0;0;0;0.0;-277;none;0;592280000;53;55;32575399936;74487128064;-194624995328;263065518080;1379237888000;125;73
BIMA;112;72;161;0.1;0.0;-0.2;0;0;0.9;131;none;1889460;608176000;88;105;68115709952;448767072;1429954048;92740984832;124372877312;0;44
BINA;4090;3950;4400;0.5;0.0;0.0;0;0;6.8;598;none;298610;6134720000;4158;4056;25091003908096;247278993408;4802370076672;633040011264;675333013504;40;31
BIPI;72;58;116;0.2;0.0;-0.0;4.5397224;15;10285.7;0;buy;326652580;60059398144;74;66;4587134124032;81874944;84378080;575815424;852154560;0;24
BIPP;30;20;50;0.3;0.0;-0.0;0;0;0.2;149;none;8830;1638220032;31;28;150860103680;104892153856;24866375680;256382861312;573746774016;20;33
BIRD;2070;1450;2210;0.1;0.5;0.1;8.540661;242;0.9;2274;buy;2491710;2502099968;1723;1946;5179346780160;1030055985152;972927991808;4856961040384;1066351984640;409;81
BISI;1240;1240;2200;0.1;0.5;0.1;0;0;1.1;1144;none;511780;3000000000;1652;1455;3720000045056;707318972416;30790000640;1844931985408;222000000;242;0
BJBR;965;935;1250;0.3;0.7;0.1;4.707317;205;0.7;1478;buy;2837940;3106729984;1057;986;10153151692800;15932828155904;-10997047754752;7970738929664;31784366505984;1514;9
BJTM;555;496;695;0.3;0.6;0.1;6.257046;88;0.7;790;strong_buy;6263230;3081349888;580;569;8333602324480;35950629486592;-4182993010688;5117923819520;4404861206528;2394;29
BKDP;49;33;87;-0.9;0.0;-0.1;0;0;1.0;48;none;286730;7513990144;49;43;368185507840;6158326272;-22217568256;28521181184;298092396544;0;29
BKSL;43;29;58;0.1;0.0;0.0;0;0;0.5;85;none;14676130;357500000;42;43;7211487068160;416401326080;3866907377664;1768270331904;2279861649408;2;48
BKSW;82;50;104;0.2;0.0;0.0;0;0;0.3;314;none;19197700;35157999616;63;64;2882955902976;1009769971712;4499121897472;569350029312;1242843971584;66;59
BLTA;23;12;50;0.2;0.0;0.1;0;0;11500.0;0;none;3966220;25909200896;26;21;595911639040;9539343;14338137;39451608;15264539;0;28
BLTZ;2100;1400;3900;0.1;0.0;0.1;0;0;3.9;537;none;620;546710016;1947;1994;1835267784704;231692845056;291400417280;1158676348928;1367321083904;265;28
BMAS;765;484;1110;0.1;0.0;0.0;0;0;2.0;373;none;66890;18102700032;567;704;13848565252096;2063460859904;-4468617773056;567872192512;30255839232;113;44
BMRI;6650;5525;7550;0.6;0.6;0.2;10.090894;659;2.3;2915;buy;78143180;93333299200;6732;7099;620666462142464;291504597762048;-240457904816128;132944127590400;248550495617024;3123;55
BMSR;350;292;486;0.0;0.0;0.2;0;0;0.5;771;none;183680;1159200000;340;338;405720006656;438093512704;136234893312;3061073575936;186607927296;377;29
BMTR;214;200;282;0.1;0.0;0.0;2.8879893;74;0.2;979;none;27564410;16352499712;232;225;3499434967040;4510614814720;1313970061312;9733617483776;7501013057536;275;17
