Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBTRP,Proft,ProftOwner,EPSRP,BVRP,PER,PBV,DER,ROA(%),ROE(%),NPM(%)
BNBA,Financials,G111,Banks,Bank Bumi Arta Tbk,S,09/30/2023,Dec,U,,8180,5072,3108,398,40,31,31,8,917,84,0.7,1.63,0,1,7
BNGA,Financials,G111,Banks,PT Bank CIMB Niaga Tbk,S,12/31/2023,Dec,A,WTM,334369,285032,49337,25461,8357,6551,6474,258,1962,8,1.11,5.78,2,13,25
BNII,Financials,G111,Banks,PT Bank Maybank Indonesia Tbk,S,12/31/2023,Dec,A,WTM,171803,141007,30796,12277,2355,1818,1743,23,405,11,0.64,4.58,1,6,14
BNLI,Financials,G111,Banks,Bank Permata Tbk,S,12/31/2023,Dec,A,WTM,257444,217452,39992,17441,3350,2585,2585,71,1105,14,0.88,5.44,1,6,15
BRIS,Financials,G111,Banks,PT Bank BRIsyariah Tbk,S,12/31/2023,Dec,A,WTM,353624,87223,38739,16360,7399,5704,5704,124,840,22,3.23,2.25,2,15,35
BSIM,Financials,G111,Banks,Bank Sinarmas Tbk,S,09/30/2023,Dec,A,WTM,47699,34234,7535,2756,255,220,220,13,382,73,2.49,4.54,1,3,9
BSWD,Financials,G111,Banks,Bank of India Indonesia Tbk,S,12/31/2023,Dec,A,WTM,6129,2750,3378,362,59,49,49,13,916,233,3.36,0.81,1,1,14
BTPN,Financials,G111,Banks,PT Bank BTPN Tbk,S,12/31/2023,Dec,A,WTM,201448,150244,41283,19520,3458,2682,2358,222,3879,12,0.67,3.64,1,6,12
BTPS,Financials,G111,Banks,PT Bank BTPN Syariah Tbk.,S,12/31/2023,Dec,A,WTM,21435,2737,8777,5260,1380,1081,1081,140,1139,10,1.19,0.31,5,12,21
BVIC,Financials,G111,Banks,Bank Victoria International Tbk,S,09/30/2023,Dec,U,,27346,23515,3831,1374,142,115,115,14,242,6,0.35,6.14,1,6,16
DNAR,Financials,G111,Banks,PT Bank Oke Indonesia Tbk.,S,12/31/2023,Dec,A,WTM,11075,7491,3584,1000,37,29,29,2,210,69,0.55,2.09,0,1,3
INPC,Financials,G111,Banks,Bank Artha Graha Internasional Tbk,S,09/30/2023,Dec,U,,24290,20166,4123,1142,126,126,126,5,204,14,0.34,4.89,0,2,9
MASB,Financials,G111,Banks,Bank Multiarta Sentosa Tbk,S,12/31/2023,Dec,A,WTM,27387,23704,3683,1480,300,244,244,174,2627,20,1.29,6.44,1,7,16
MAYA,Financials,G111,Banks,PT Bank Mayapada Internasional Tbk,S,09/30/2023,Dec,U,,135412,121503,13909,6542,82,66,66,-1,532,-484,0.62,8.74,0,0,0
MCOR,Financials,G111,Banks,PT Bank China Construction Bank Indonesia Tbk,S,12/31/2023,Dec,A,WTM,27852,21311,6541,1736,310,241,241,6,172,11,0.42,3.26,1,4,14
MEGA,Financials,G111,Banks,Bank Mega Tbk,S,12/31/2023,Dec,A,WTM,132050,110294,21755,11889,4343,3511,3511,299,1853,18,2.86,5.07,3,16,30
