Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBTRP,Proft,ProftOwner,EPSRP,BVRP,PER,PBV,DER,ROA(%),ROE(%),NPM(%)
PBSA,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Paramita Bangun Sarana Tbk,S,12/31/2023,Dec,A,WTM,796,198,597,573,243,193,193,64,199,5,1.49,0.33,24,32,34
PPRE,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT PP Presisi Tbk.,S,12/31/2023,Dec,A,WTM,7165,3850,3315,3401,182,173,80,8,324,11,0.26,1.16,1,2,2
PTDU,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Djasa Ubersakti Tbk,S,09/30/2023,Dec,U,,250,208,42,83,-27,-27,-27,-51,28,-1,1.2,4.9,-30,-179,-92
PTPP,Infrastructures,J211,Heavy Constructions & Civil Engineering,PP (Persero) Tbk,S,12/31/2023,Dec,A,WTM,56525,41382,15143,19994,643,127,481,78,2443,6,0.2,2.73,1,3,2
PTPW,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Pratama Widya Tbk.,S,09/30/2023,Dec,U,,644,87,556,268,59,59,59,79,634,12,1.47,0.16,11,12,26
RONY,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Aesler Grup Internasional Tbk,S,09/30/2023,Dec,U,,8,3,5,3,0,0,0,-22,4,-13,73.8,0.66,-352,-584,-893
SMKM,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Sumber Mas Konstruksi Tbk,S,06/30/2023,Dec,U,,210,7,202,77,8,8,8,7,161,7,0.31,0.04,4,5,12
SSIA,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Surya Semesta Internusa Tbk,S,12/31/2023,Dec,A,WTM,8417,3973,4443,4538,275,232,177,38,944,24,0.96,0.89,2,4,4
TAMA,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Lancartama Sejati Tbk.,S,09/30/2023,Dec,U,,201,144,56,24,-2,-3,-3,-5,47,-2,0.17,2.55,-3,-10,-25
TOPS,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Totalindo Eka Persada Tbk.,S,09/30/2023,Dec,U,,2418,1718,700,276,-47,-54,-54,-4,21,-1,0.14,2.45,-6,-21,-54
TOTL,Infrastructures,J211,Heavy Constructions & Civil Engineering,Total Bangun Persada Tbk,S,12/31/2023,Dec,A,WTM,3133,2066,1067,3027,176,173,173,51,313,9,1.4,1.94,6,16,6
WEGE,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Wijaya Karya Bangunan Gedung Tbk.,S,12/31/2023,Dec,A,WTM,5562,3003,2559,3980,47,47,47,5,267,16,0.3,1.17,1,2,1
WIKA,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Wijaya Karya (Persero) Tbk,S,09/30/2023,Dec,A,WTM,66651,55679,10972,15080,-6472,-6456,-5845,-655,1223,0,0.2,5.07,-9,-54,-39
WSKT,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Waskita Karya (Persero) Tbk,S,09/30/2023,Dec,U,,96539,84108,12431,7816,-3028,-3235,-2834,-164,432,-1,0.47,6.77,-5,-38,-61
BALI,Infrastructures,J321,Wireless Telecommunication Services,PT Bali Towerindo Sentra Tbk.,S,09/30/2023,Dec,U,,5334,2840,2494,712,141,129,129,48,634,32,2.45,1.14,4,8,26
BTEL,Infrastructures,J321,Wireless Telecommunication Services,Bakrie Telecom Tbk,S,09/30/2023,Dec,U,,43,5996,-5953,43,-85,-85,-85,-4,-162,-13,-0.31,-1.01,-343,0,-339
CENT,Infrastructures,J321,Wireless Telecommunication Services,PT Centratama Telekomunikasi Indonesia Tbk.,S,12/31/2023,Dec,A,WTM,20041,21507,-1466,2523,-617,-844,-844,-27,-47,-1,-0.77,-14.67,-4,0,-33
EXCL,Infrastructures,J321,Wireless Telecommunication Services,PT XL Axiata Tbk,S,12/31/2023,Dec,A,WTM,87688,61183,26505,32323,1705,1284,1271,97,2019,23,1.12,2.31,1,5,4
FREN,Infrastructures,J321,Wireless Telecommunication Services,Smartfren Telecom Tbk,S,09/30/2023,Dec,A,WTM,45911,30727,15184,8630,-647,-600,-600,-4,45,-14,1.1,2.02,-3,-8,-14
GHON,Infrastructures,J321,Wireless Telecommunication Services,PT Gihon Telekomunikasi Indonesia Tbk,S,12/31/2023,Dec,A,WTM,1359,524,835,204,105,100,100,182,1518,10,1.23,0.63,7,12,49
GOLD,Infrastructures,J321,Wireless Telecommunication Services,PT Visi Telekomunikasi Infrastruktur Tbk.,S,12/31/2023,Dec,A,WTM,412,38,374,48,17,16,16,13,293,25,1.08,0.1,4,4,34
IBST,Infrastructures,J321,Wireless Telecommunication Services,Inti Bangun Sejahtera Tbk,S,09/30/2023,Dec,U,,9680,3388,6292,830,63,49,49,29,4658,136,0.86,0.54,0,1,5
ISAT,Infrastructures,J321,Wireless Telecommunication Services,PT Indosat Tbk,S,12/31/2023,Dec,A,WTM,114722,81013,33709,51229,5932,4776,4506,559,4181,20,2.67,2.4,4,13,9
JAST,Infrastructures,J311,Wired Telecommunication Service,Jasnita Telekomindo Tbk,S,09/30/2023,Dec,U,,138,49,89,94,-3,-3,-5,-3,82,-19,0.61,0.55,-2,-3,-3
KBLV,Infrastructures,J311,Wired Telecommunication Service,First Media Tbk,S,09/30/2023,Dec,U,,1178,1664,-485,71,-50,-51,-52,-39,-279,-1,-0.15,-3.43,-6,0,-94
LCKM,Infrastructures,J321,Wireless Telecommunication Services,PT LCK Global Kedaton Tbk,S,09/30/2023,Dec,U,,142,6,136,15,0,0,0,-1,136,-334,2.19,0.05,-1,-1,-6
LINK,Infrastructures,J311,Wired Telecommunication Service,Link Net Tbk,S,12/31/2023,Dec,A,WTM,12636,8320,4316,3926,-586,-533,-533,-186,1507,-6,0.71,1.93,-4,-12,-14
MORA,Infrastructures,J311,Wired Telecommunication Service,PT Mora Telematika Indonesia Tbk,S,12/31/2023,Dec,A,WTM,14899,7975,6924,4306,891,679,564,24,293,19,1.55,1.15,4,8,13
MTEL,Infrastructures,J321,Wireless Telecommunication Services,Dayamitra Telekomunikasi Tbk,S,12/31/2023,Dec,A,WTM,57010,22973,34038,8595,2739,2010,2010,24,407,26,1.51,0.67,4,6,23
OASA,Infrastructures,J321,Wireless Telecommunication Services,PT Protech Mitra Perkasa Tbk,S,09/30/2023,Dec,U,,740,84,657,30,2,0,0,2,103,74,1.15,0.13,1,2,34
SUPR,Infrastructures,J321,Wireless Telecommunication Services,Solusi Tunas Pratama Tbk,S,12/31/2023,Dec,A,WTM,9886,4174,5712,1892,1046,1128,1128,992,5021,40,7.95,0.73,11,20,60
TBIG,Infrastructures,J321,Wireless Telecommunication Services,PT Tower Bersama Infrastructure Tbk,S,09/30/2023,Dec,LR,,43760,32475,11285,4953,1255,1165,1118,68,498,28,3.77,2.88,4,14,31
TLKM,Infrastructures,J312,Integrated Telecommunication Service,Telkom Indonesia (Persero) Tbk.,S,12/31/2023,Dec,A,WTM,287042,130480,156562,149216,40794,32208,24560,248,1580,14,2.2,0.83,9,16,16
TOWR,Infrastructures,J321,Wireless Telecommunication Services,Sarana Menara Nusantara Tbk,S,09/30/2023,Dec,U,,68225,52129,16096,8719,3100,2474,2426,65,316,13,2.73,3.24,5,21,38
ARKO,Infrastructures,J411,Electric Utilities,PT Arkora Hydro Tbk.,S,12/31/2023,Dec,A,WTM,1158,720,438,179,57,39,39,13,150,78,6.95,1.64,3,9,22
HADE,Infrastructures,J421,Gas Utilities,Himalaya Energi Perkasa Tbk,S,12/31/2023,Dec,A,WTM,14,2,13,4,-1,-1,0,0,6,-14,0.51,0.15,-3,-4,-11
KEEN,Infrastructures,J411,Electric Utilities,Kencana Energi Lestari Tbk,S,12/31/2023,Dec,A,WTM,5447,2548,2898,741,282,229,199,54,791,15,1.02,0.88,4,7,27
LAPD,Infrastructures,J411,Electric Utilities,Leyand International Tbk,S,09/30/2023,Dec,U,,191,141,50,48,2,2,1,63,13,0,0.48,2.84,130,500,516
MPOW,Infrastructures,J411,Electric Utilities,Megapower Makmur Tbk,S,09/30/2023,Dec,U,,184,62,123,23,-1,-1,-1,-10,150,-5,0.33,0.5,-5,-7,-37
POWR,Infrastructures,J411,Electric Utilities,Cikarang Listrindo Tbk,S,12/31/2023,Dec,A,WTM,20445,9574,10871,8431,1734,1188,1188,74,676,9,1.01,0.88,6,11,14
TGRA,Infrastructures,J411,Electric Utilities,Terregra Asia Energy Tbk,S,09/30/2023,Dec,U,,476,107,368,1,-5,-4,-4,2,134,15,0.25,0.29,1,2,653
IATA,Transportation & Logistic,K111,Airlines,MNC Energy Investments Tbk,S,09/30/2023,Dec,U,,3334,1809,1525,2006,446,347,346,11,60,5,0.83,1.19,8,18,14
ASSA,Transportation & Logistic,K132,Road Transportation,Adi Sarana Armada Tbk,S,12/31/2023,Dec,A,WTM,7336,4733,2602,4439,65,19,104,28,705,28,1.1,1.82,1,4,2
BIRD,Transportation & Logistic,K132,Road Transportation,PT Blue Bird Tbk,S,09/30/2023,Dec,U,,7379,1842,5537,3229,474,368,367,186,2213,9,0.79,0.33,6,8,14
BPTR,Transportation & Logistic,K132,Road Transportation,PT Batavia Prosperindo Trans Tbk.,S,09/30/2023,Dec,U,,1399,897,502,326,53,36,36,10,142,6,0.44,1.79,2,7,10
CMPP,Transportation & Logistic,K111,Airlines,AirAsia Indonesia Tbk,S,09/30/2023,Dec,U,,5755,13444,-7690,4934,-874,-874,-875,-97,-720,-1,-0.13,-1.75,-18,0,-21
GIAA,Transportation & Logistic,K111,Airlines,Garuda Indonesia (Persero) Tbk,S,09/30/2023,Dec,U,,95336,120280,-24944,34586,-1596,-1116,-1121,9,-273,6,-0.2,-4.82,1,0,2
HELI,Transportation & Logistic,K111,Airlines,Jaya Trishindo Tbk,S,09/30/2023,Dec,U,,193,149,44,35,-11,-11,-11,-118,52,-4,10.05,3.43,-51,-226,-281
LRNA,Transportation & Logistic,K132,Road Transportation,PT Eka Sari Lorena Transport Tbk.,S,09/30/2023,Dec,U,,224,52,173,71,2,2,2,-24,494,-6,0.31,0.3,-4,-5,-12
SAFE,Transportation & Logistic,K132,Road Transportation,Steady Safe Tbk,S,09/30/2023,Dec,U,,244,289,-45,182,18,13,13,29,-73,9,-3.5,-6.47,7,0,10
TAXI,Transportation & Logistic,K132,Road Transportation,Express Transindo Utama Tbk,S,09/30/2023,Dec,U,,69,11,58,4,-3,-3,-3,0,6,-82,5.96,0.19,-6,-7,-118
TRJA,Transportation & Logistic,K132,Road Transportation,PT Transkon Jaya Tbk.,S,09/30/2023,Dec,U,,1051,676,375,454,39,29,29,23,248,9,0.84,1.8,3,9,8
WEHA,Transportation & Logistic,K132,Road Transportation,PT WEHA Transportasi Indonesia Tbk,S,12/31/2023,Dec,A,WTM,352,124,228,267,41,32,32,22,156,8,1.08,0.54,9,14,12
AKSI,Transportation & Logistic,K211,Logistics & Deliveries,PT Maming Enam Sembilan Mineral Tbk.,S,09/30/2023,Dec,U,,320,142,178,302,7,1,1,-15,247,-9,0.54,0.8,-3,-6,-3
BLTA,Transportation & Logistic,K211,Logistics & Deliveries,Berlian Laju Tanker Tbk,S,09/30/2023,Dec,U,,1347,538,809,442,203,197,197,10,31,4,1.19,0.66,19,31,57
DEAL,Transportation & Logistic,K211,Logistics & Deliveries,PT Dewata Freightinternational Tbk.,S,09/30/2023,Dec,U,,151,208,-57,33,-10,-10,-10,-16,-50,0,-0.12,-3.64,-12,0,-54
ELPI,Transportation & Logistic,K211,Logistics & Deliveries,PT Pelayaran Nasional Ekalya Purnamasari Tbk,S,12/31/2023,Dec,A,WTM,2363,494,1869,1079,163,161,156,21,252,14,1.19,0.26,7,8,14
HAIS,Transportation & Logistic,K211,Logistics & Deliveries,Hasnur Internasional Shipping Tbk,S,12/31/2023,Dec,A,WTM,914,248,666,942,170,158,157,60,254,4,1.02,0.37,17,24,17
HATM,Transportation & Logistic,K211,Logistics & Deliveries,PT Habco Trans Maritima Tbk,S,12/31/2023,Dec,A,WTM,1046,177,869,576,205,198,198,28,124,8,1.79,0.2,19,23,34
JAYA,Transportation & Logistic,K211,Logistics & Deliveries,PT Armada Berjaya Trans Tbk.,S,12/31/2023,Dec,A,WTM,167,45,122,85,12,10,10,13,152,9,0.73,0.37,6,8,12
KJEN,Transportation & Logistic,K211,Logistics & Deliveries,PT Krida Jaringan Nusantara Tbk.,S,09/30/2023,Dec,U,,67,5,62,6,0,0,0,0,125,-1809,0.62,0.08,0,0,0
MIRA,Transportation & Logistic,K211,Logistics & Deliveries,Mitra International Resources Tbk,S,09/30/2023,Dec,U,,246,81,164,56,-10,-7,-7,-8,41,-1,0.14,0.5,-13,-20,-58
NELY,Transportation & Logistic,K211,Logistics & Deliveries,Pelayaran Nelly Dwi Putri Tbk,S,12/31/2023,Dec,A,WTM,829,99,730,522,232,229,229,97,311,5,1.61,0.14,28,31,44
PPGL,Transportation & Logistic,K211,Logistics & Deliveries,PT Prima Globalindo Logistik Tbk.,S,06/30/2023,Dec,U,,197,55,142,92,12,10,5,17,184,5,0.47,0.39,7,9,14
PURA,Transportation & Logistic,K211,Logistics & Deliveries,PT Putra Rajawali Kencana Tbk.,S,09/30/2023,Dec,U,,579,78,501,148,8,7,7,0,79,74,0.43,0.16,1,1,2
RCCC,Transportation & Logistic,K211,Logistics & Deliveries,PT Utama Radar Cahaya Tbk,S,12/31/2023,Dec,A,WTM,88,45,43,76,5,4,4,5,57,36,2.99,1.06,4,8,5
SAPX,Transportation & Logistic,K211,Logistics & Deliveries,PT Satria Antaran Prima Tbk.,S,09/30/2023,Dec,U,,296,119,176,449,8,6,6,-7,212,-101,3.47,0.68,-2,-3,-1
SDMU,Transportation & Logistic,K211,Logistics & Deliveries,Sidomulyo Selaras Tbk,S,12/31/2023,Dec,A,WTM,149,112,37,92,32,32,32,29,32,1,1.06,3.07,22,89,35
SMDR,Transportation & Logistic,K211,Logistics & Deliveries,Samudera Indonesia Tbk,S,12/31/2023,Dec,A,WTM,19406,8823,10584,11925,1830,1698,1152,70,646,4,0.47,0.83,6,11,10
TMAS,Transportation & Logistic,K211,Logistics & Deliveries,PT Temas Tbk.,S,12/31/2023,Dec,A,WTM,4069,1486,2583,4306,902,815,783,14,45,12,3.69,0.58,19,30,18
TNCA,Transportation & Logistic,K211,Logistics & Deliveries,PT Trimuda Nuansa Citra Tbk.,S,09/30/2023,Dec,U,,60,10,50,54,3,2,2,5,118,49,1.95,0.21,3,4,4
TRUK,Transportation & Logistic,K211,Logistics & Deliveries,PT Guna Timur Raya Tbk.,S,09/30/2023,Dec,U,,68,15,53,33,-2,-2,-2,-8,121,-12,0.77,0.29,-5,-7,-10
