,Kode
793,SBMA
794,CMNT
795,GTSI
796,IDEA
797,POSA
798,JAST
799,FITT
800,BOLA
801,CCSI
802,SFAN
803,POLU
804,RODA
805,ROTI
806,RUIS
807,SAFE
808,SAME
809,SCCO
810,RONY
811,CSMI
812,BBSS
813,BHAT
814,CASH
815,TECH
816,SMGR
817,SMMA
818,SMMT
819,SMRA
820,SMRU
821,SMSM
822,SOCI
823,SSIA
824,SSMS
825,SSTM
826,STAR
827,STTP
828,SUGI
829,SULI
830,TBLA
831,TBMS
832,TCID
833,TELE
834,TFCO
835,TGKA
836,TIFA
837,TINS
838,TSPC
839,ULTJ
840,UNIC
841,UNIT
842,UNSP
843,UNTR
844,TRUE
845,LABA
846,ARCI
847,IPAC
848,MASB
849,BMHS
850,FLMC
851,IMJS
852,IMPC
853,INAF
854,INAI
855,INCI
856,INCO
857,INDF
858,DEWI
859,AXIO
860,KRYA
861,HATM
862,RCCC
863,GULA
864,JARR
865,TGUK
866,INET
867,MAHA
868,RMKO
869,CNMA
870,ASRI
871,ASRM
872,ASSA
873,ATIC
874,AUTO
875,BABP
876,BACA
