Code;Stock Name;SD/BS;Currency;Cash Dividend;Cum Dividend;Ex Dividend;Record Date;Payment Date;Note
BBRI;PT Bank Rakyat Indonesia (Persero) Tbk;;IDR;231,22;03/21/2023;03/24/2023;03/27/2023;04/12/2023;F
BBTN;PT Bank Tabungan Negara (Persero) Tbk;;IDR;43,39;03/28/2023;03/29/2023;03/30/2023;04/14/2023;F
BMRI;Bank Mandiri (Persero) Tbk.;;IDR;529,34;03/24/2023;03/27/2023;03/28/2023;04/12/2023;F
BNII;PT Bank Maybank Indonesia Tbk;;IDR;7,72;04/11/2023;04/12/2023;04/13/2023;04/28/2023;F
BBCA;Bank Central Asia Tbk.;;IDR;170;03/28/2023;03/29/2023;03/30/2023;04/14/2023;F
ITMG;Indo Tambangraya Megah Tbk;;IDR;6414;04/10/2023;04/11/2023;04/12/2023;04/18/2023;F
FASW;Fajar Surya Wisesa Tbk;;IDR;23;03/30/2023;03/31/2023;04/03/2023;04/18/2023;F
BBNI;PT Bank Negara Indonesia (Persero) Tbk;;IDR;392,78;03/27/2023;03/28/2023;03/29/2023;04/14/2023;F
LPPF;Matahari Department Store Tbk;;IDR;525;04/06/2023;04/10/2023;04/11/2023;04/17/2023;F
ASGR;Astra Graphia Tbk;;IDR;21;04/12/2023;04/13/2023;04/14/2023;04/05/2023;F
ROTI;Nippon Indosari Corpindo Tbk;;IDR;106,55;04/14/2023;04/17/2023;04/18/2023;04/28/2023;F
ESSA;Surya Esa Perkasa Tbk;;IDR;45;03/27/2023;03/28/2023;03/29/2023;04/05/2023;F
SIDO;Industri Jamu dan Farmasi Sido Muncul Tbk;;IDR;23;04/06/2023;04/10/2023;04/11/2023;04/28/2023;F
EAST;Eastparc Hotel Tbk;;IDR;2,36;04/03/2023;04/04/2023;04/05/2023;04/17/2023;F
AGII;Aneka Gas Industri Tbk;;IDR;4,86;06/12/2023;06/13/2023;06/14/2023;07/06/2023;F
AKRA;AKR Corporindo Tbk.;;IDR;50;08/03/2023;08/04/2023;08/07/2023;08/16/2023;I
ANTM;Aneka Tambang Tbk.;;IDR;79,5016;06/22/2023;06/26/2023;06/26/2023;07/14/2023;F
CFIN;Clipan Finance Indonesia Tbk;;IDR;100;07/05/2023;07/06/2023;07/07/2023;07/25/2023;F
INDF;Indofood Sukses Makmur Tbk;;IDR;257;07/06/2023;07/07/2023;07/10/2023;07/26/2023;F
LTLS;Lautan Luas Tbk;;IDR;50;06/22/2023;06/23/2023;06/26/2023;07/03/2023;F
MAPI;Mitra Adiperkasa Tbk;;IDR;8;07/03/2023;07/04/2023;07/05/2023;07/21/2023;F
MEDC;Medco Energi Internasional Tbk;;USD;0,0016;06/12/2023;06/13/2023;06/14/2023;07/03/2023;F
MYOR;Mayora Indah Tbk;;IDR;35;06/21/2023;06/22/2023;06/23/2023;07/11/2023;F
SIMP;Salim Ivomas Pratama Tbk;;IDR;15;07/05/2023;07/06/2023;07/07/2023;07/25/2023;F
SMRA;Summarecon Agung Tbk;;IDR;7;06/23/2023;06/26/2023;06/27/2023;07/14/2023;F
SMSM;Selamat Sempurna Tbk;;IDR;25;08/07/2023;08/08/2023;08/09/2023;08/23/2023;I
TLKM;Telkom Indonesia (Persero) Tbk.;;IDR;167,5987;06/09/2023;06/12/2023;06/13/2023;07/05/2023;F
PTBA;Bukit Asam Tbk;;IDR;10,94;06/23/2023;06/26/2023;06/27/2023;07/14/2023;F
LSIP;PP London Sumatra Indonesia Tbk;;IDR;53;07/05/2023;07/06/2023;07/07/2023;07/21/2023;F
TINS;Timah Tbk;;IDR;41,9516;06/23/2023;06/26/2023;06/27/2023;07/14/2023;F
CTRA;Ciputra Development Tbk;;IDR;15;07/10/2023;07/11/2023;07/12/2023;07/25/2023;F
MNCN;Media Nusantara Citra Tbk;;IDR;5;07/10/2023;07/11/2023;07/12/2023;08/03/2023;F
GPRA;Perdana Gapuraprima Tbk;;IDR;1;07/05/2023;07/06/2023;07/07/2023;07/26/2023;F
ACES;Ace Hardware Indonesia Tbk;;IDR;31,06;07/04/2023;07/05/2023;07/06/2023;07/21/2023;F
ITMG;Indo Tambangraya Megah Tbk;;IDR;2,66;09/11/2023;09/12/2023;09/13/2023;09/22/2023;I
CITA;Cita Mineral Investindo Tbk;;IDR;10;07/10/2023;07/11/2023;07/12/2023;07/31/2023;F
AMFG;Asahimas Flat Glass Tbk;;IDR;80;07/05/2023;07/06/2023;07/07/2023;07/26/2023;F
LION;Lion Metal Works Tbk;;IDR;4;07/10/2023;07/11/2023;07/12/2023;07/24/2023;F
CLPI;Colorpak Indonesia Tbk;;IDR;61,38;07/10/2023;07/11/2023;07/12/2023;08/03/2023;F
DPNS;Duta Pertiwi Nusantara Tbk;;IDR;15;07/04/2023;07/05/2023;07/06/2023;07/21/2023;F
EKAD;Ekadharma International Tbk;;IDR;9;06/21/2023;06/22/2023;06/23/2023;07/14/2023;F
SRSN;Indo Acidatama Tbk;;IDR;1;06/13/2023;06/14/2023;06/15/2023;07/07/2023;F
KKGI;Resource Alam Indonesia Tbk;;IDR;25;07/04/2023;07/05/2023;07/06/2023;07/14/2023;F
UNIC;Unggul Indah Cahaya Tbk;;IDR;360;06/22/2023;06/22/2023;06/23/2023;07/12/2023;F
AKPI;Argha Karya Prima Industry Tbk;;IDR;16,5;06/14/2023;06/15/2023;06/16/2023;07/07/2023;F
TRST;Trias Sentosa Tbk;;IDR;5;07/10/2023;07/11/2023;07/12/2023;07/28/2023;F
TBMS;Tembaga Mulia Semanan Tbk;;USD;59,78;06/15/2023;06/16/2023;06/19/2023;07/05/2023;F
INDS;Indospring Tbk;;IDR;100;07/04/2023;07/05/2023;07/06/2023;07/21/2023;F
MASA;Multistrada Arah Sarana Tbk;;IDR;31;06/21/2023;06/22/2023;06/23/2023;07/14/2023;F
DOID;Delta Dunia Makmur Tbk;;IDR;103;06/16/2023;06/19/2023;06/20/2023;07/07/2023;F
INDR;Indorama Synthetics Tbk;;IDR;240;07/10/2023;07/11/2023;07/12/2023;07/25/2023;F
RDTX;Roda Vivatex Tbk;;IDR;725;07/03/2023;07/04/2023;07/05/2023;07/14/2023;F
KBLI;KMI Wire & Cable Tbk;;IDR;4;06/21/2023;06/22/2023;06/23/2023;07/14/2023;F
JECC;Jembo Cable Company Tbk;;IDR;100;06/20/2023;06/21/2023;06/22/2023;07/12/2023;F
KBLM;Kabelindo Murni Tbk;;IDR;8;06/13/2023;06/14/2023;06/15/2023;07/07/2023;F
IKBI;Sumi Indo Kabel Tbk;;IDR;15,78;09/04/2023;09/05/2023;09/06/2023;09/25/2023;F
SKBM;Sekar Bumi Tbk;;IDR;9,97;06/19/2023;06/20/2023;06/19/2023;07/11/2023;F
ULTJ;Ultra Jaya Milk Industry & Trading Company Tbk;;IDR;30;06/27/2023;07/03/2023;07/04/2023;07/23/2023;F
GGRM;Gudang Garam Tbk;;IDR;1200;07/07/2023;07/10/2023;07/11/2023;07/18/2023;F
HMSP;HM Sampoerna Tbk;;IDR;54,7;06/19/2023;06/20/2023;06/21/2023;07/13/2023;F
DVLA;Darya-Varia Laboratoria Tbk;;IDR;78;07/05/2023;07/06/2023;07/07/2023;07/21/2023;F
