kode;skg;lo;hi;om;dev;roe;pery;epsy;pbvy;bvy;aksiy;vol;totshm;m;bl;mcap;cash;opcash;ph;ut;tcs;p;date
BBNI;5975.0;4312.5;6225.0;0.36615002;0.35009998;0.14313;8.310385;718.98;1.4827676;4029.627;buy;41614620.0;578684032.0;5013.6377;5674.0;222367401902080.0;107511654907904.0;-27717921669120.0;48521235398656.0;53992918876160.0;2885.692;86.9281045751634;2024-03-07 18:46:58
BBRI;6225.0;4640.0;6375.0;0.42594;0.9352;0.19496;12.591529;494.38;3.0249975;2057.853;buy;106385330.0;150790995968.0;5518.3;5860.5;938673960910848.0;159495338590208.0;-58039973445632.0;137058488156160.0;173625529335808.0;1057.726;91.35446685878962;2024-03-07 18:46:58
BBRM;63.0;51.0;92.0;0.46084;0.0;0.11828;0.0;0.0;21000.0;0.003;none;1562330.0;3578050048.0;66.215;65.52;534207856640.0;5777495.0;4351171.0;10082693.0;1204362.0;0.001;29.26829268292683;2024-03-07 18:46:58
BBSI;4550.0;2830.0;4550.0;0.67524004;0.0;0.04221;0.0;0.0;5.2899904;860.115;none;24610.0;3674720000.0;3557.4;3865.6;16719976333312.0;1563543601152.0;-567592222720.0;237985660928.0;0.0;425.486;100.0;2024-03-07 18:46:58
BBSS;95.0;50.0;147.0;-1.86078;0.0;-0.00693;0.0;0.0;1.8415135;51.588;none;1577410.0;4800019968.0;81.03;82.06;456001912832.0;1215163392.0;-755263488.0;354722208.0;0.0;0.253;46.391752577319586;2024-03-07 18:46:58
BBTN;1365.0;1150.0;1500.0;0.51655;0.1743;0.12417;4.3535113;313.54;0.62852854;2171.739;buy;50112520.0;14034400256.0;1283.55;1334.9;19156957134848.0;38718819794944.0;-18721898758144.0;13550260060160.0;51333721751552.0;2758.842;61.42857142857143;2024-03-07 18:46:58
BBYB;276.0;208.0;660.0;-0.84726995;0.0;-0.27499;0.0;0.0;1.028565;268.335;strong_buy;100125460.0;12038800384.0;368.4;347.6;3322709016576.0;2421385068544.0;-2788981997568.0;691693027328.0;59757998080.0;201.131;15.04424778761062;2024-03-07 18:46:58
BCAP;50.0;50.0;68.0;0.17391;0.0;0.02627;0.0;0.0;0.39901683;125.308;none;628440.0;42618900480.0;52.93;50.02;2130944983040.0;7254576201728.0;650548019200.0;1912261050368.0;2394505084928.0;170.22;0.0;2024-03-07 18:46:58
BCIC;111.0;93.0;173.0;0.11156;0.0;0.03171;0.0;0.0;0.52701795;210.619;none;402460.0;283501.0;122.42;118.04;2010198966272.0;4506788036608.0;-6628247076864.0;841792028672.0;324000000.0;248.857;22.5;2024-03-07 18:46:58
BCIP;55.0;52.0;71.0;0.27562;0.0;0.03171;0.0;0.0;0.16759197;328.178;none;389980.0;1429920000.0;61.995;58.46;78645600256.0;19807848448.0;-1334490240.0;88494006272.0;27912054784.0;13.852;15.789473684210526;2024-03-07 18:46:58
