kode;skg;lo;hi;om;dev;roe;pery;epsy;pbvy;bvy;aksiy;vol;m;cash;opcash;ph;ut;tcs
FOLK;68.0;50.0;135.0;-0.06842;0.0;0.0;0;0.0;0.0;0.0;none;6616790.0;67.89262;15919088640.0;-33674029056.0;27743985664.0;1121339264.0;4.032
FOOD;114.0;79.0;166.0;-0.35002;0.0;-0.55806;0;0.0;3.4450455;33.091;none;165570.0;101.27;15257590784.0;-19325790208.0;79744770048.0;2213718016.0;23.473
FORU;810.0;130.0;810.0;-0.11018;0.0;-0.08194;0;0.0;10.851945;74.641;none;514840.0;204.12;30647754752.0;-1843038080.0;49657430016.0;1798796544.0;65.877
FORZ;50.0;50.0;50.0;-0.18260999;0.0;0.044260003;0;0.0;0.34070852;146.753;none;0.0;50.0;2099393024.0;-1181112192.0;61399998464.0;70705324032.0;1.058
FPNI;186.0;177.0;246.0;0.01602;0.0;0.03127;0;0.0;9300.0;0.02;none;834370.0;199.07;28097000.0;5339000.0;397126016.0;62000.0;0.005
FREN;51.0;50.0;68.0;0.05722;0.0;-0.07993;0;0.0;1.1264744;45.274;buy;217539670.0;54.685;2269584031744.0;2627850731520.0;11545222316032.0;24620010831872.0;6.767
FUJI;230.0;196.0;370.0;0.08427;0.0;0.024319999;0;0.0;1.8532994;124.103;none;25190.0;265.0;122079289344.0;6557668352.0;9549441024.0;0.0;93.907
FUTR;50.0;50.0;177.0;0.1732;0.0;0.0;0;0.0;1.7023594;29.371;none;77010.0;50.66;10186476544.0;-118632677376.0;130368438272.0;842091456.0;1.594
FWCT;69.0;50.0;118.0;0.13498999;0.0;0.0;0;0.0;0.5265769;131.035;none;774230.0;61.195;17413988352.0;-39813279744.0;856829067264.0;181249097728.0;9.287
GAMA;18.0;18.0;50.0;-2.1907;0.0;-0.03292;0;0.0;0.17190991;104.706;none;0.0;19.985;1639998464.0;-24502601728.0;17969922048.0;96606863360.0;0.164
GDST;110.0;103.0;212.0;0.0849;0.0;0.21356001;0;0.0;0.753141;146.055;none;1095570.0;137.37;397514080256.0;64652214272.0;2550992207872.0;547858907136.0;46.76
GDYR;1275.0;1200.0;1560.0;0.075780004;0.0;0.10208999;0;0.0;10537.19;0.121;none;4410.0;1352.275;6624141.0;4556687.0;171185792.0;8363117.0;0.016
GEMA;268.0;165.0;460.0;0.04833;0.0;0.09779;0;0.0;1.060819;252.635;none;13900.0;278.48;64316846080.0;49763049472.0;1200362225664.0;422936412160.0;40.198
GEMS;5850.0;5475.0;7975.0;0.12384;0.71269995;1.14159;0;0.0;56250.0;0.104;none;58190.0;6123.125;217835216.0;434020928.0;2910528512.0;129470072.0;0.037
GGRM;20075.0;19525.0;30050.0;0.0638;0.4021;0.09856;5.888685;3409.08;0.64372313;31185.768;hold;542150.0;23764.375;4242261934080.0;2844844097536.0;112511802146816.0;7120805167104.0;2204.817
GGRP;418.0;392.0;615.0;0.061090004;0.0;0.043709997;0;0.0;5971.4287;0.07;none;158390.0;450.295;115329920.0;92036248.0;709839040.0;125983920.0;0.01
GHON;1860.0;1700.0;2190.0;0.65212;0.0;0.13332;0;0.0;1.309895;1419.961;none;11950.0;1830.3;8654105600.0;151220174848.0;199195492352.0;316677029888.0;15.735
GIAA;70.0;50.0;105.0;0.12961;0.0;0.0;0;0.0;0.0;-0.017;none;97405950.0;75.88;351815552.0;89056304.0;2827610624.0;4055671040.0;0.004
GJTL;1160.0;570.0;1415.0;0.14565;0.0;0.09156;5.065502;229.0;0.51340246;2259.436;none;32570320.0;938.7;1013291024384.0;1303015063552.0;16991345704960.0;5102791819264.0;290.807
GLOB;67.0;67.0;126.0;0.00962;0.0;0.0;0;0.0;0.0;-830.145;none;680.0;106.87;3226661888.0;2024907136.0;83613229056.0;484110467072.0;2.904
GLVA;418.0;402.0;1100.0;0.05217;0.0;0.23267001;0;0.0;1.9904858;209.999;none;40490.0;668.86;110183997440.0;1275935981568.0;1993841049600.0;435611009024.0;73.456
